Date,Title,Link,Source
2024-11-16 11:00:00,"MicroStrategys $26 billion bitcoin cache is larger than IBM, Nike cash holdings",https://finance.yahoo.com/news/microstrategy-26-billion-bitcoin-cache-160000492.html,Bloomberg
2024-11-06 16:16:00,Kyndryl beats second-quarter revenue estimates on consulting strength,https://finance.yahoo.com/news/kyndryl-beats-second-quarter-revenue-211643070.html,Reuters
2024-10-24 06:21:00,IBM falls as slowing enterprise spending pressure consulting growth,https://finance.yahoo.com/news/ibm-falls-slowing-enterprise-spending-102121470.html,Reuters
2024-12-03 00:01:00,Atos Consortium Fumbles Rollout of EU Biometric Border System,https://finance.yahoo.com/m/d565ea91-9914-32f5-8f2b-7912650b99d6/atos-consortium-fumbles.html,Bloomberg
2024-12-12 17:17:00,IBM Gives Chicagos Quantum Campus a Boost With New Investment,https://finance.yahoo.com/news/ibm-gives-chicago-quantum-campus-200000435.html,Bloomberg
2025-01-02 10:46:00,"IBM, GlobalFoundries settle lawsuits over contract, trade secrets",https://finance.yahoo.com/news/ibm-globalfoundries-settle-lawsuits-over-154639639.html,Reuters
2025-01-29 16:12:00,"IBM beats profit estimates as software business surges, shares rise",https://ca.finance.yahoo.com/news/ibm-beats-profit-estimates-software-211226284.html,Reuters
2025-01-29 16:35:00,"IBM Shares Jump on Strong Sales Outlook, AI Bookings",https://finance.yahoo.com/news/ibm-reports-strong-sales-growth-211037765.html,Bloomberg
2025-01-30 09:48:00,IBM Shares Jump on Strong Sales Outlook and AI Bookings,https://finance.yahoo.com/news/ibm-shares-jump-strong-sales-144824627.html,Bloomberg
2025-02-03 16:16:00,Kyndryl misses third-quarter revenue estimates as strong dollar weighs,https://finance.yahoo.com/news/kyndryl-misses-third-quarter-revenue-211618408.html,Reuters
2025-02-04 16:06:00,IBM Gives Long-Term Sales Growth Outlook That Tops Expectations,https://finance.yahoo.com/news/ibm-gives-long-term-sales-210606227.html,Bloomberg
