Date,Title,Link,Source
2024-11-25 18:12:00,Google Arguments Draw Skepticism From Judge in Ad Tech Case,https://finance.yahoo.com/news/google-arguments-draw-skepticism-judge-210948215.html,Bloomberg
2024-11-20 09:37:00,Delta Leans Into Upscale Travel While Battling Heavy Costs,https://finance.yahoo.com/news/delta-leans-upscale-travel-while-122709521.html,Bloomberg
2024-10-21 01:28:00,UBS sells its 50% stake in Swisscard to American Express,https://finance.yahoo.com/news/ubs-sells-50-stake-swisscard-052808130.html,Reuters
2024-10-18 07:04:00,AmEx quarterly profit exceeds expectations on cost control,https://finance.yahoo.com/news/amex-profit-beats-estimate-robust-110425990.html,Reuters
2025-01-16 12:34:00,American Express to pay $230 million to settle US charges over deceptive sales practices,https://finance.yahoo.com/news/american-express-pay-108-7-173446176.html,Reuters
2025-01-16 15:33:00,Amex to Pay $230 Million Over Misleading Sales Practices,https://finance.yahoo.com/news/amex-pay-230-million-over-203356282.html,Bloomberg
2025-01-16 17:38:00,Asian Stocks Eye Soft Start Ahead of China Data: Markets Wrap,https://finance.yahoo.com/news/asian-stocks-eye-soft-start-223817963.html,Bloomberg
2025-01-24 07:03:00,AmEx beats revenue expectations on strong holiday season spending,https://finance.yahoo.com/news/amex-profit-jumps-resilient-credit-120336980.html,Reuters
2025-01-24 09:35:00,American Express Profit Gets Boost From Holiday Shopping,https://finance.yahoo.com/news/american-express-earnings-expand-holiday-120127899.html,Bloomberg
2025-02-07 14:27:00,AmEx closed 30 accounts potentially tied to Iran's government,https://finance.yahoo.com/news/amex-says-identified-30-consumer-192742265.html,Reuters
2025-02-24 23:47:00,American Express joins Alipay digital payment system in China,https://finance.yahoo.com/news/american-express-joins-alipay-digital-044725548.html,Reuters
