Date,Title,Link,Source
2024-11-18 15:20:00,Canva Hires Former Zoom CFO Steckelberg in Move Signaling IPO,https://finance.yahoo.com/news/canva-hires-former-zoom-cfo-202006376.html,Bloomberg
2024-11-12 09:04:00,Adobe adds AI tools to its stock photography business,https://finance.yahoo.com/news/adobe-adds-ai-tools-stock-140400454.html,Reuters
2024-10-14 12:29:00,"Adobes AI Video Tools Will Be Priced Differently, CEO Says",https://finance.yahoo.com/news/adobe-ai-video-tools-priced-162930398.html,Bloomberg
2024-10-14 09:02:00,"Adobe starts roll-out of AI video tools, challenging OpenAI and Meta",https://finance.yahoo.com/news/adobe-starts-roll-ai-video-130257529.html,Reuters
2024-10-14 09:00:00,"Adobe Launches AI Video Generator in Race With OpenAI, Meta",https://finance.yahoo.com/news/adobe-launches-ai-video-generator-130000682.html,Bloomberg
2024-10-10 06:06:00,"Who are buy now, pay later borrowers, and what are they buying?",https://finance.yahoo.com/news/buy-now-pay-later-borrowers-100608332.html,Reuters
2024-10-08 09:03:00,Adobe to offer free app to help with creator attribution amid AI boom,https://finance.yahoo.com/news/adobe-offer-free-app-help-130347753.html,Reuters
2024-11-28 06:01:00,Sofas become points of purchase as Americans shop with their phones on Thanksgiving,https://finance.yahoo.com/news/sofas-become-points-purchase-americans-110148561.html,Reuters
2024-11-30 10:05:00,"Total US Black Friday spending in stores and online rose 3.4% year-over-year, data shows",https://finance.yahoo.com/news/black-friday-data-shows-us-150515793.html,Reuters
2024-12-10 16:38:00,Adobes AI Video Rollout Lags Behind While OpenAI Launches Sora,https://finance.yahoo.com/news/adobe-ai-video-rollout-lags-213858847.html,Bloomberg
2024-12-11 14:43:00,Adobe Results Seen as Make-or-Break to Prove AI Credentials,https://finance.yahoo.com/news/adobe-results-seen-break-prove-143937870.html,Bloomberg
2024-12-11 16:25:00,Adobe forecasts fiscal 2025 revenue below estimates on slower subscription spending,https://finance.yahoo.com/news/adobe-forecasts-annual-revenue-below-212535711.html,Reuters
2024-12-11 16:25:00,Adobe forecasts annual revenue below estimates,https://ca.finance.yahoo.com/news/adobe-forecasts-annual-revenue-below-212535514.html,Reuters
2024-12-11 18:17:00,Adobe Drops After Tepid Outlook Stokes AI Disruption Fears,https://finance.yahoo.com/news/adobe-gives-tepid-sales-outlook-213821689.html,Bloomberg
2024-12-12 06:25:00,Adobe falls as annual revenue forecast triggers concerns on delayed AI returns,https://finance.yahoo.com/news/adobe-falls-annual-revenue-forecast-112553055.html,Reuters
2024-12-12 16:42:00,Adobe Drops the Most in Two Years on Fears of AI Disruption,https://finance.yahoo.com/news/adobe-gives-tepid-sales-outlook-213821689.html,Bloomberg
2024-12-22 09:00:00,AI Roadkill Fears Haunt Traders Two Years After ChatGPT Debut,https://finance.yahoo.com/news/ai-roadkill-fears-haunt-traders-140000806.html,Bloomberg
2025-01-07 08:08:00,"US online holiday sales rise nearly 9% on mobile shopping boom, report shows",https://finance.yahoo.com/news/us-online-holiday-sales-rise-130855666.html,Reuters
2025-01-09 14:01:00,"Microsoft, Google, Adobe Give $1 Million Each to Trump Inaugural Fund",https://finance.yahoo.com/news/microsoft-google-adobe-1-million-190121729.html,Bloomberg
2025-02-12 09:00:00,Adobe to Charge 50 Cents Per AI Video in New Product Launch,https://finance.yahoo.com/news/adobe-charge-50-cents-per-140000310.html,Bloomberg
2025-02-12 09:04:00,Adobe launches AI video tool to compete with OpenAI,https://finance.yahoo.com/m/6e4be9c4-d99d-3aa2-8023-7ef9a46f6e8e/adobe-launches-ai-video-tool.html,Reuters
2025-02-13 20:55:00,Canva Tests Cheap Plans in Emerging Markets After India Progress,https://finance.yahoo.com/news/canva-tests-cheap-plans-emerging-015559429.html,Bloomberg
2025-02-25 09:03:00,"Adobe brings free Photoshop app to phones, courting younger users",https://finance.yahoo.com/m/45a1bea9-83bb-3b3d-9ae5-d5d3bbb8083f/adobe-brings-free-photoshop.html,Reuters
2025-03-05 08:00:00,Design Firm Figma to Double NYC-Based Staff by 2034 in Continued Expansion,https://finance.yahoo.com/news/design-firm-figma-double-nyc-130000967.html,Bloomberg
