Date,Title,Link,Source
2024-11-22 14:06:00,"Trump Expected to Offer Agriculture Chief Post to Loeffler, CNN Says",https://finance.yahoo.com/news/trump-expected-offer-agriculture-chief-190639991.html,Bloomberg
2024-11-19 11:26:00,Trumps Media Company in Talks to Buy Bakkt Crypto Platform,https://finance.yahoo.com/news/trump-media-company-talks-buy-221946027.html,Bloomberg
2024-11-18 15:35:00,"Trump's social media group in talks to buy Bakkt, FT reports",https://finance.yahoo.com/news/donald-trumps-social-media-group-203547245.html,Reuters
2024-11-18 04:21:00,"EU Bond Futures to Succeed Despite Issuance Doubts, Says ICE",https://finance.yahoo.com/news/eu-bond-futures-succeed-despite-092117101.html,Bloomberg
2024-11-15 16:57:00,ICE Delays Changes on Uncertainty Over EU Deforestation Plan,https://finance.yahoo.com/news/ice-delays-changes-uncertainty-over-215759528.html,Bloomberg
2024-11-13 06:01:00,Eurex Delays EU Bond Futures in Blow to Bloc,https://finance.yahoo.com/news/eurex-delays-eu-bond-futures-110148473.html,Bloomberg
2024-11-11 04:43:00,ICE to Start First EU Bond Futures Trading Next Month,https://finance.yahoo.com/news/ice-start-first-eu-bond-094328330.html,Bloomberg
2024-10-31 07:52:00,NYSE-parent ICE's profit meets estimates as strong trading offsets higher expenses,https://finance.yahoo.com/news/nyse-parent-ices-quarterly-profit-115238099.html,Reuters
2024-09-25 05:37:00,Bond Investors Alerted to Hidden Risks in Ratings Blind Spot,https://finance.yahoo.com/news/bond-investors-urged-models-risk-190000457.html,Bloomberg
2024-08-01 07:34:00,"NYSE-parent ICE beats profit views, helped by boost in energy trading",https://finance.yahoo.com/news/nyse-parent-ice-second-quarter-113458099.html,Reuters
2024-07-11 16:00:00,Wall Streets Portfolio-Trade Fad Hooks Illiquid Muni Market,https://finance.yahoo.com/news/wall-street-portfolio-trade-fad-143016596.html,Bloomberg
2024-11-26 07:22:00,Eurex Plans EU Bond Futures in 2025 in Boost to Blocs Goals,https://finance.yahoo.com/news/eurex-plans-eu-bond-futures-122218969.html,Bloomberg
2024-12-09 16:16:00,ICE Move to Limit Gene-Edited Sugar in US May Hurt Brazil Flows,https://finance.yahoo.com/news/ice-move-limit-gene-edited-211644796.html,Bloomberg
2025-02-05 10:54:00,UK Bond Trading Nears 2018 Landmark With Boost From Turmoil,https://finance.yahoo.com/news/uk-bond-trading-nears-2018-150856563.html,Bloomberg
2025-02-06 07:36:00,"NYSE-parent ICE posts profit rise on robust trading volumes, hikes dividend",https://finance.yahoo.com/news/nyse-parent-ice-profit-rises-123642839.html,Reuters
