Date,Title,Link,Source
2024-11-20 09:37:00,Delta Leans Into Upscale Travel While Battling Heavy Costs,https://finance.yahoo.com/news/delta-leans-upscale-travel-while-122709521.html,Bloomberg
2024-11-20 06:39:00,Delta Air eyes mid single-digit revenue growth in 2025 with premium travel in focus,https://finance.yahoo.com/news/delta-air-expects-2025-revenue-113923462.html,Reuters
2024-10-28 13:32:00,"CrowdStrike, Delta sue each other over flight disruptions",https://finance.yahoo.com/news/crowdstrike-delta-sue-other-over-173240962.html,Reuters
2024-10-24 05:00:00,More Companies Ditch Junk Carbon Offsets but New Buyers Loom,https://finance.yahoo.com/news/more-companies-ditch-junk-carbon-090031163.html,Bloomberg
2024-10-22 14:01:00,Air Taxis Take One Step Closer to Reality With FAA Rules,https://finance.yahoo.com/news/air-taxis-one-step-closer-160909620.html,Bloomberg
2024-10-16 14:08:00,United Jumps on Optimism Airline Profits Are Set to Improve,https://finance.yahoo.com/news/united-jumps-optimism-airline-profits-180857251.html,Bloomberg
2024-11-26 05:08:00,"US Senate panel criticizes rising airline seat fees, will call execs to testify",https://finance.yahoo.com/news/us-senate-panel-criticizes-rising-100819710.html,Reuters
2024-12-27 06:00:00,Airlines Stocks Beat Market by Most in a Decade as Travel Booms,https://finance.yahoo.com/news/airlines-stocks-beat-market-most-110000446.html,Bloomberg
2025-01-10 06:35:00,"Delta forecasts bumper 2025 profit on robust premium travel demand, better pricing",https://finance.yahoo.com/news/delta-forecasts-strongest-profit-100-113556969.html,Reuters
2025-01-10 13:23:00,Delta Flight Under Investigation After Emergency Injures Four,https://finance.yahoo.com/news/delta-flight-under-investigation-emergency-182331418.html,Bloomberg
2025-01-10 16:47:00,"Delta resumes flights at Atlanta hub, cancels 700 flights",https://finance.yahoo.com/m/6fdd9201-1f60-32a1-90c7-338cf981ff83/delta-resumes-flights-at.html,Reuters
2025-01-10 17:03:00,"Winter Storm Hits US South, Halting More Than 3,000 Flights",https://finance.yahoo.com/news/winter-storm-sweeps-us-south-130554234.html,Bloomberg
2025-01-13 19:22:00,"Hyundai, Stellantis, Delta each donating $1 million to Trump inaugural fund",https://finance.yahoo.com/news/hyundai-stellantis-delta-donating-1-002252351.html,Reuters
