Date,Title,Link,Source
2024-11-13 12:18:00,AMD to cut 4% of global workforce as it focuses on AI chip development,https://finance.yahoo.com/news/amd-cut-4-global-workforce-171829397.html,Reuters
2024-11-13 11:41:00,AMD Cutting About 4% of Workforce to Focus Resources on AI Push,https://finance.yahoo.com/news/amd-cutting-4-workforce-focus-164122776.html,Bloomberg
2024-12-03 13:13:00,"Intel Considers Outsiders for CEO, Including Marvells Head",https://finance.yahoo.com/news/intel-considers-outsiders-ceo-including-181350659.html,Bloomberg
2024-12-05 10:00:00,AMD CEO Lisa Su Is Ready for the AI Spotlight,https://finance.yahoo.com/news/amd-ceo-lisa-su-ready-150013139.html,Bloomberg
2024-12-13 13:47:00,Liquid AI closes $250 million early-stage funding round led by AMD,https://finance.yahoo.com/news/liquid-ai-closes-250-million-184700451.html,Reuters
2025-01-06 14:45:00,AMD Adds Dell as Commercial PC Customer for the First Time,https://finance.yahoo.com/news/amd-adds-dell-commercial-pc-194500333.html,Bloomberg
2025-01-06 18:11:00,Dollar Slump Offers Reprieve for Asian Currencies: Markets Wrap,https://finance.yahoo.com/news/dollar-slump-offers-reprieve-asian-231145607.html,Bloomberg
2025-01-08 22:09:00,Asian Stocks Dip as Traders Shift Focus to US Jobs: Markets Wrap,https://finance.yahoo.com/news/asian-stocks-set-cautious-open-222844546.html,Bloomberg
2025-01-09 16:12:00,Bond Traders See Jobs Testing Hawkish Fed Pricing: Markets Wrap,https://finance.yahoo.com/news/asian-stocks-set-cautious-open-222844546.html,Bloomberg
2025-01-31 06:18:00,Intel rises on revenue beat as CEO hunt dominates investor focus,https://finance.yahoo.com/news/intel-rises-revenue-beat-ceo-111822165.html,Reuters
2025-02-04 16:19:00,AMD forecast tops first-quarter revenue estimates,https://finance.yahoo.com/news/amd-forecasts-first-quarter-revenue-211920395.html,Reuters
2025-02-04 18:04:00,AMD Tumbles After Giving Disappointing Outlook for AI Growth,https://finance.yahoo.com/news/amd-data-center-sales-miss-214423845.html,Bloomberg
2025-02-05 02:18:00,AMD shares dive as AI chip revenue disappoints investors,https://finance.yahoo.com/news/amd-shares-dive-over-8-071833031.html,Reuters
2025-02-05 05:40:00,"Nasdaq futures lag as Alphabet, AMD slide after bleak forecasts",https://finance.yahoo.com/news/nasdaq-futures-lag-alphabet-amd-104033129.html,Reuters
2025-02-05 10:12:00,AMD Tumbles After Giving Disappointing Outlook for AI Growth,https://finance.yahoo.com/news/amd-data-center-sales-miss-214423845.html,Bloomberg
2025-02-05 13:38:00,Arms Monster Valuation Put to Test as DeepSeek Angst Lingers,https://finance.yahoo.com/news/arm-monster-valuation-put-test-130147603.html,Bloomberg
2025-02-07 05:20:00,US equity funds see sharp outflows in the week to Feb 5,https://finance.yahoo.com/news/us-equity-funds-see-sharp-102007872.html,Reuters
2025-02-07 09:38:00,AMDs Stock Slump Shows Theres No Silver Medal in AI,https://finance.yahoo.com/news/amd-stock-slump-shows-no-124554525.html,Bloomberg
2025-02-14 13:56:00,Musks xAI Discussing $10 Billion Raise at $75 Billion Valuation,https://finance.yahoo.com/news/musk-xai-discussing-10-billion-185650908.html,Bloomberg
2025-03-03 06:04:00,"Nvidia and Broadcom testing chips on Intel manufacturing process, sources say",https://finance.yahoo.com/news/exclusive-nvidia-broadcom-testing-chips-110442469.html,Reuters
