Date,Title,Link,Source
2024-11-19 13:57:00,Salesforce Plans Layoffs at Acquisition Own in Strategy Shift,https://finance.yahoo.com/news/salesforce-plans-layoffs-acquisition-own-185717413.html,Bloomberg
2024-11-08 14:49:00,"Salesforce to Hire 1,000 People for AI Product Sales Push",https://finance.yahoo.com/news/salesforce-hire-1-000-people-194931457.html,Bloomberg
2024-10-29 19:00:00,"Shopify Is Winning Salesforce Clients, Stoking E-Commerce Rivalry",https://finance.yahoo.com/news/shopify-winning-salesforce-clients-stoking-152921652.html,Bloomberg
2024-12-03 13:53:00,Salesforce Faces Reality Check After AI-Driven Jump to Record,https://finance.yahoo.com/news/salesforce-faces-reality-check-ai-111650938.html,Bloomberg
2024-12-04 07:17:00,Salesforce jumps as latest AI tools set to accelerate demand,https://finance.yahoo.com/news/salesforce-jumps-latest-ai-tools-121703879.html,Reuters
2024-12-04 09:32:00,Salesforce Hits Record High With AI Boom Fueling Strong Growth,https://finance.yahoo.com/news/salesforce-posts-strong-revenue-promise-215130055.html,Bloomberg
2024-12-17 18:46:00,"Salesforce closes 1,000 paid 'Agentforce' deals, looks to robot future",https://finance.yahoo.com/news/salesforce-closes-1-000-paid-234643000.html,Reuters
2024-12-24 10:32:00,Salesforce Stokes Veeva Fight by Snagging Drug Customers,https://finance.yahoo.com/news/salesforce-stokes-veeva-fight-snagging-153210048.html,Bloomberg
2025-01-22 11:38:00,Salesforce Expects Thousands of Deals for Its Agentforce AI Product This Quarter,https://finance.yahoo.com/news/salesforce-expects-thousands-deals-agentforce-163849770.html,Bloomberg
2025-02-03 19:06:00,"Salesforce Cutting 1,000 Roles While Hiring Salespeople for AI",https://finance.yahoo.com/news/salesforce-cutting-1-000-roles-000658688.html,Bloomberg
2025-02-03 19:20:00,"Salesforce to cut 1,000 roles, Bloomberg News reports",https://finance.yahoo.com/news/salesforce-cut-1-000-roles-002028643.html,Reuters
2025-02-04 09:42:00,"Salesforce Cutting 1,000 Roles While Hiring Salespeople for AI",https://finance.yahoo.com/news/salesforce-cutting-1-000-roles-000658688.html,Bloomberg
2025-02-06 14:54:00,"Salesforce, Workday Are Hiring More Overseas to Save Cash",https://finance.yahoo.com/news/salesforce-workday-hiring-more-overseas-195428633.html,Bloomberg
