Date,Title,Link,Source
2024-10-24 07:57:00,"Union Pacific misses quarterly profit estimates despite price hikes, shares fall",https://finance.yahoo.com/news/union-pacific-reports-rise-q3-115725784.html,Reuters
2024-10-02 16:52:00,Union Pacific says FXE issuing some US-Mexico grain shuttle permits,https://finance.yahoo.com/news/union-pacific-says-fxe-issuing-205228951.html,Reuters
2024-09-30 16:37:00,Port Strike Looms Just as Farmers Seek to Export Bumper Harvests,https://finance.yahoo.com/news/port-strike-looms-just-farmers-203700387.html,Bloomberg
2024-09-27 15:49:00,US-Mexico rail delays hit farm sector ahead of possible ports strike,https://finance.yahoo.com/news/us-mexico-rail-delays-hit-194913491.html,Reuters
2024-09-19 12:18:00,Union Pacific expects revenue to grow faster than volumes over next three years,https://finance.yahoo.com/news/union-pacific-expects-revenue-grow-161813404.html,Reuters
2024-09-12 14:39:00,Union Pacific says rail services restored on lines impacted by hurricane Francine,https://finance.yahoo.com/news/union-pacific-says-rail-services-183932309.html,Reuters
2024-08-20 13:18:00,Union Pacific warns of 'devastating consequences' from Canada rail strike,https://finance.yahoo.com/news/union-pacific-warns-devastating-consequences-171849021.html,Reuters
2024-07-26 09:47:00,"Union Pacific railway interfered in federal safety audit, agency says",https://finance.yahoo.com/news/union-pacific-interfered-federal-safety-134759136.html,Reuters
2024-07-25 07:56:00,"Union Pacific reports quarterly profit above estimates on higher pricing, volumes",https://finance.yahoo.com/news/union-pacifics-quarterly-profit-rises-115659078.html,Reuters
2024-07-24 11:01:00,"Higher pricing, volumes seen easing hit from slowing coal demand for US rail firms",https://finance.yahoo.com/news/higher-pricing-volumes-seen-easing-150150871.html,Reuters
2024-07-09 15:08:00,Union Pacific mostly restores operations in Texas following storm Beryl,https://finance.yahoo.com/news/union-pacific-mostly-restores-operations-190840505.html,Reuters
2024-12-13 06:08:00,"Trump tariffs could intensify US trucking industry slump, experts say",https://finance.yahoo.com/news/trump-tariffs-could-intensify-us-110809676.html,Reuters
2025-01-23 07:54:00,"Union Pacific's quarterly profit rises on higher volumes, pricing",https://finance.yahoo.com/news/railroad-operator-union-pacifics-quarterly-125439637.html,Reuters
