Date,Title,Link,Source,% Change,hits
2024-11-27 00:27:00,"OpenAI allows employees to sell $1.5 billion stock to SoftBank, sources say",https://finance.yahoo.com/news/openai-allows-employees-sell-1-052751439.html,Reuters,-1.17,
2024-11-27 14:52:00,Microsoft denies training AI models on user data,https://finance.yahoo.com/news/microsoft-denies-training-ai-models-195201946.html,Reuters,-1.17,
2024-11-27 16:13:00,Microsoft faces wide-ranging US antitrust probe,https://ca.finance.yahoo.com/news/us-ftc-launches-broad-microsoft-211307665.html,Reuters,-1.17,
2024-12-03 06:05:00,Microsoft faces UK lawsuit over cloud computing licences,https://finance.yahoo.com/news/microsoft-faces-uk-lawsuit-over-110505160.html,Reuters,0.05,
2024-12-04 07:25:00,UK to publish provisional report on cloud computing in January,https://finance.yahoo.com/news/uk-publish-provisional-report-cloud-122539141.html,Reuters,1.44,1740.0
2024-12-05 10:18:00,Analysis-Vodafone-Three merger approval marks UK antitrust shift,https://finance.yahoo.com/news/analysis-vodafone-three-merger-approval-151830355.html,Reuters,1.19,
2024-12-06 07:46:00,"OpenAI seeks to unlock investment by ditching 'AGI' clause with Microsoft, FT reports",https://finance.yahoo.com/news/openai-seeks-unlock-investment-ditching-124646840.html,Reuters,0.21,
2024-12-06 07:46:00,"OpenAI aims to attract more investment by removing 'AGI' clause with Microsoft, FT reports",https://finance.yahoo.com/news/openai-seeks-unlock-investment-ditching-124646246.html,Reuters,0.21,
2024-12-07 12:53:00,"US clears export of advanced AI chips to UAE under Microsoft deal, Axios says",https://finance.yahoo.com/news/advanced-ai-chips-cleared-export-175303218.html,Reuters,,
2024-12-09 12:00:00,Microsoft Unveils Zero-Water Data Centers to Reduce AI Climate Impact,https://finance.yahoo.com/news/microsoft-unveils-zero-water-data-170002064.html,Bloomberg,0.55,
2024-12-09 16:31:00,C3.ai lifts annual forecast on strong demand for enterprise AI software,https://finance.yahoo.com/news/c3-ai-lifts-annual-forecast-213131449.html,Reuters,0.55,
2024-12-10 19:32:00,"Google asks FTC to break up Microsoft's cloud deal with OpenAI, the Information says",https://finance.yahoo.com/news/google-asks-ftc-break-microsofts-003239843.html,Reuters,-0.6,
2024-12-11 05:01:00,"Acadia, companies eye $9 billion US renewables roll-out",https://finance.yahoo.com/news/acadia-companies-eye-9-billion-100157085.html,Reuters,1.28,167.0
2024-12-11 16:20:00,Microsoft Sees $800 Million Charge on Stake in GMs Cruise,https://finance.yahoo.com/news/microsoft-sees-800-million-charge-212052113.html,Bloomberg,1.28,1.0
2024-12-11 16:39:00,Microsoft expects $800 million impairment charge in Q2 2025 over General Motors' Cruise exit,https://finance.yahoo.com/news/microsoft-expects-800-million-impairment-213952934.html,Reuters,1.28,1370.0
2024-12-15 01:41:00,"Blue Whale Cuts Stakes in Tech Giants Over AI Costs, FT Reports",https://finance.yahoo.com/news/blue-whale-cuts-stakes-tech-064127088.html,Bloomberg,,
2024-12-23 13:52:00,"Exclusive-Microsoft works to add non-OpenAI models into 365 Copilot products, sources say",https://finance.yahoo.com/news/exclusive-microsoft-works-add-non-185227231.html,Reuters,-0.31,
