Date,Title,Link,Source
2024-10-30 16:14:00,Bunge Says Viterra Deal Conclusion May Be Delayed Into 2025,https://finance.yahoo.com/news/bunge-says-viterra-deal-conclusion-131943285.html,Bloomberg
2024-09-25 07:00:00,Bunges Rescue of Huge Soy Supplier Rests With Argentine Court,https://finance.yahoo.com/news/bunge-rescue-huge-soy-supplier-110000256.html,Bloomberg
2024-09-09 11:43:00,Bunge Signals $8 Billion Viterra Deal Nears With Bond Swap Offer,https://finance.yahoo.com/news/bunge-signals-viterra-deal-nearing-154317895.html,Bloomberg
2024-08-01 13:19:00,Bunges $8.2 Billion Viterra Deal Wins Conditional EU Nod,https://finance.yahoo.com/news/bunge-8-2-billion-viterra-171908767.html,Bloomberg
2024-07-31 10:04:00,Bunge Delays Completion of $8.2 Billion Viterra Acquisition,https://finance.yahoo.com/news/bunge-delays-completion-8-2-140400565.html,Bloomberg
2024-07-31 09:15:00,Bunge Earnings Shrink to Pandemic Levels on Bumper Harvests,https://finance.yahoo.com/news/bunge-earnings-shrink-pandemic-levels-112430247.html,Bloomberg
2024-07-31 07:16:00,Bunge Global shares slide 8% after quarterly profit miss,https://finance.yahoo.com/news/bunge-reports-quarterly-profit-miss-111629235.html,Reuters
2024-07-29 13:28:00,Worlds Top Crop Traders Set for Profit Slump on Ample Supply,https://finance.yahoo.com/news/world-top-crop-traders-set-172830367.html,Bloomberg
2024-07-24 10:03:00,Bunges $8.2 Billion Viterra Deal Set for Conditional EU Nod,https://finance.yahoo.com/news/bunge-8-2-billion-viterra-133112744.html,Bloomberg
2024-07-11 13:35:00,Bunges $8 Billion Deal for Viterra Faces Risk of Delays,https://finance.yahoo.com/news/bunge-8-billion-deal-viterra-171910693.html,Bloomberg
2024-05-10 09:24:00,Bunge halts soy crushing plant in Brazil's flood-hit state,https://finance.yahoo.com/news/bunge-halts-soy-crushing-plant-132434947.html,Reuters
2024-04-24 14:44:00,Canada's worries about Bunge-Viterra deal may force asset sales,https://finance.yahoo.com/news/canadas-worries-bunge-viterra-deal-184424467.html,Reuters
2024-04-24 10:01:00,Bunge Shares Slump as Crop Trader Reaffirms Weaker Outlook,https://finance.yahoo.com/news/bunge-profit-tops-estimates-crop-102016617.html,Bloomberg
2024-04-24 06:13:00,"UPDATE 4-Bunge Q1 profit falls on weaker agribusiness results, shares drop",https://finance.yahoo.com/news/1-bunge-beats-quarterly-profit-101313073.html,Reuters
2024-04-23 11:31:00,"Bunge Deal for Viterra Raises Competition Red Flags, Canadian Agency Says",https://finance.yahoo.com/news/bunge-deal-viterra-raises-competition-153130128.html,Bloomberg
2024-03-05 04:39:00,"UPDATE 1-BP Bunge Bioenergia not looking to offload assets, CEO says",https://finance.yahoo.com/news/1-bp-bunge-bioenergia-not-093943079.html,Reuters
