Date,Title,Link,Source
2024-11-21 16:35:00,Gary Gensler Plans to Step Down From SEC in January,https://finance.yahoo.com/news/gary-gensler-plans-step-down-180000215.html,Bloomberg
2024-11-21 14:13:00,The crypto companies jostling for seats on Trump's promised policy council,https://finance.yahoo.com/news/crypto-industry-jockeys-seats-trumps-191351801.html,Reuters
2024-11-12 08:01:00,"Novogratz, Winklevoss Twins See Wealth Surge on Bitcoin Revival",https://finance.yahoo.com/news/novogratz-winklevoss-twins-see-wealth-130144595.html,Bloomberg
2024-11-08 13:43:00,Factbox-US congressional races where crypto is hoping for big payoffs,https://finance.yahoo.com/news/factbox-us-congressional-races-where-184357502.html,Reuters
2024-11-27 09:21:00,Court overturns US sanctions against cryptocurrency mixer Tornado Cash,https://finance.yahoo.com/news/court-overturns-us-sanctions-against-142133455.html,Reuters
2025-01-06 12:37:00,"Bitcoin Retakes $100,000 With Global Risk Rally Resuming",https://finance.yahoo.com/news/bitcoin-approaches-100-000-congress-091553760.html,Bloomberg
2025-01-07 03:00:00,"Former FTX, Alameda Staff Acquires Failed Firms European Entity",https://finance.yahoo.com/news/former-ftx-alameda-staff-acquires-080000462.html,Bloomberg
2025-01-21 07:32:00,"Crypto lobbying risks regulatory capture, South African cenbank boss tells Davos event",https://ca.finance.yahoo.com/news/trump-effect-crypto-undeniable-lure-123213598.html,Reuters
2025-01-23 16:43:00,"Trump Signs Executive Actions Related to Cryptocurrency, AI",https://finance.yahoo.com/news/trump-signs-executive-actions-related-205841385.html,Bloomberg
2025-01-25 21:24:00,Coinbase CEO Says Surge in New Tokens Making Evaluations Harder,https://finance.yahoo.com/news/coinbase-ceo-says-surge-tokens-022455005.html,Bloomberg
2025-01-29 08:30:00,"Trump campaign manager, ex-senator join Coinbase advisory council",https://finance.yahoo.com/news/trump-campaign-manager-ex-senator-133049896.html,Reuters
2025-01-29 08:30:00,"Coinbase adds Trump campaign manager, ex-senator to advisory council",https://ca.finance.yahoo.com/news/trump-campaign-manager-ex-senator-133049896.html,Reuters
2025-02-04 12:57:00,Coinbase urges US regulators to clear path for banks to offer crypto services,https://finance.yahoo.com/news/coinbase-urges-us-regulators-clear-175757513.html,Reuters
2025-02-04 12:59:00,Coinbase Urges US to Lift Barriers for Crypto Bank Services,https://finance.yahoo.com/news/coinbase-urges-us-lift-barriers-175926509.html,Bloomberg
2025-02-07 13:48:00,Coinbase must face customer lawsuit in New York,https://finance.yahoo.com/news/coinbase-must-face-customer-lawsuit-184859668.html,Reuters
2025-02-12 23:37:00,"Coinbase plans Indian comeback amid regulatory engagements, TechCrunch reports",https://finance.yahoo.com/news/coinbase-eyes-entry-india-techcrunch-043726898.html,Reuters
2025-02-12 23:37:00,"Coinbase eyes re-entry into India, TechCrunch reports",https://finance.yahoo.com/news/coinbase-eyes-entry-india-techcrunch-043726082.html,Reuters
2025-02-13 16:17:00,Coinbase reports higher fourth-quarter profit on crypto rally,https://ca.finance.yahoo.com/news/coinbase-reports-strong-fourth-quarter-211731876.html,Reuters
2025-02-13 16:17:00,Coinbase fourth-quarter profit beats on crypto rally,https://finance.yahoo.com/news/coinbase-reports-strong-fourth-quarter-211731455.html,Reuters
2025-02-21 08:08:00,"US securities regulator to drop lawsuit against Coinbase, firm says",https://finance.yahoo.com/news/us-securities-regulator-drop-lawsuit-130853904.html,Reuters
2025-02-21 12:47:00,Coinbase Says SEC Is Close to Dismissing Enforcement Case,https://finance.yahoo.com/news/coinbase-says-sec-close-dismissing-134812374.html,Bloomberg
2025-02-21 19:02:00,"Bybit Hack, Cryptos Biggest Ever, Spoils Coinbases SEC Victory Party",https://finance.yahoo.com/news/bybit-hack-crypto-biggest-ever-000252787.html,Bloomberg
2025-02-25 11:21:00,"Bitcoin Slides Below $90,000 as Crypto Selloff Gathers Steam",https://finance.yahoo.com/news/bitcoin-slides-below-90-000-072831007.html,Bloomberg
2025-02-27 16:25:00,US securities regulator files to dismiss lawsuit against Coinbase,https://finance.yahoo.com/news/us-sec-announces-dismissal-civil-212536070.html,Reuters
