Date,Title,Link,Source
2024-11-13 12:42:00,"EU regulators quiz Novo Nordisk, Catalent rivals on $16.5 billion deal",https://finance.yahoo.com/news/eu-regulators-quiz-novo-nordisk-174249880.html,Reuters
2024-11-05 08:25:00,Catalent misses Q1 revenue estimates ahead of $16.5 billion deal close with Novo Holdings,https://finance.yahoo.com/news/catalent-misses-q1-revenue-estimates-132521341.html,Reuters
2024-11-04 03:01:00,EU antitrust regulators to rule on Novo's Catalent buy by Dec. 6,https://finance.yahoo.com/news/eu-antitrust-regulators-decide-novos-080111429.html,Reuters
2024-10-23 04:40:00,Roche comes out against allowing takeover of drug manufacturer Catalent,https://finance.yahoo.com/news/roche-comes-against-clearing-takeover-084056286.html,Reuters
2024-10-21 07:30:00,Catalent CEO to remain in charge of contract drugmaker after Novo Holdings' buyout,https://finance.yahoo.com/news/catalent-ceo-remain-charge-contract-113047210.html,Reuters
2024-10-17 14:03:00,Consumer groups ask FTC to block Novo Holdings-Catalent deal,https://finance.yahoo.com/news/consumer-groups-ask-ftc-block-180312952.html,Reuters
2024-10-14 06:39:00,Catalent to sell New Jersey facility,https://finance.yahoo.com/news/catalent-sell-jersey-facility-103948983.html,Reuters
2024-10-10 08:03:00,US Senator Warren calls for scrutiny of Novo Holdings' Catalent deal,https://finance.yahoo.com/news/us-senator-warren-calls-scrutiny-120341556.html,Reuters
2024-08-30 17:32:00,Catalent delays filing of annual report,https://finance.yahoo.com/news/catalent-delays-filing-annual-report-213249540.html,Reuters
2024-08-29 08:07:00,Catalent beats revenue estimates ahead of deal close with Novo Holdings,https://finance.yahoo.com/news/catalent-beats-revenue-estimates-ahead-120715174.html,Reuters
2024-05-03 08:58:00,US FTC seeks more information on Novo Nordisk parent-Catalent deal,https://finance.yahoo.com/news/us-ftc-seeks-more-information-125812911.html,Reuters
2024-05-03 08:36:00,UPDATE 2-US FTC seeks more information on Novo Nordisk parent-Catalent deal,https://finance.yahoo.com/news/1-us-ftc-seeks-more-123658632.html,Reuters
2024-05-03 08:16:00,FTC seeks more information on Novo Holdings-Catalent deal,https://finance.yahoo.com/news/ftc-seeks-more-information-novo-121649256.html,Reuters
2024-04-08 06:31:00,Novo Nordisk parent refiles US application on Catalent deal,https://finance.yahoo.com/news/novo-nordisk-parent-refiles-us-103118874.html,Reuters
2024-04-08 06:28:00,UPDATE 1-Novo Nordisk parent refiles US application on Catalent deal,https://finance.yahoo.com/news/1-novo-nordisk-parent-refiles-102852074.html,Reuters
2024-04-08 05:55:00,Novo Nordisk owner refiles U.S. application for approval of Catalent deal,https://finance.yahoo.com/news/novo-nordisk-owner-refiles-u-095507755.html,Reuters
2024-04-05 23:08:00,"Ares, Blue Owl Lead $4.8 Billion Private Debt for Catalent Deal",https://finance.yahoo.com/news/ares-blue-owl-lead-4-030840668.html,Bloomberg
2024-03-08 07:11:00,HIGHLIGHTS-Novo Nordisk hopes to launch experimental obesity drug this decade,https://finance.yahoo.com/news/highlights-novo-nordisk-hopes-launch-121100855.html,Reuters
2024-03-07 10:41:00,"Novo Nordisk will raise capex if Catalent deal is not completed, CFO says",https://finance.yahoo.com/news/novo-nordisk-raise-capex-catalent-154116322.html,Reuters
2024-03-07 10:31:00,Novo Nordisk expects Catalent deal to close later this year,https://finance.yahoo.com/news/novo-nordisk-expects-catalent-deal-153123079.html,Reuters
2024-02-14 16:43:00,Wegovy packing supplier Catalent lays off 300 workers,https://finance.yahoo.com/news/wegovy-packing-supplier-catalent-lays-214352536.html,Reuters
2024-02-09 09:13:00,UPDATE 3-Catalent sales edge past estimates as focus shifts to Novo deal,https://finance.yahoo.com/news/2-catalent-q2-sales-inch-141321245.html,Reuters
2024-02-09 08:14:00,UPDATE 1-Catalent quarterly sales inch past estimates amid Novo Holdings' takeover,https://finance.yahoo.com/news/1-catalent-quarterly-sales-inch-131422331.html,Reuters
2024-02-09 08:03:00,Catalent reports second-quarter revenue slightly above estimates,https://finance.yahoo.com/news/catalent-reports-second-quarter-revenue-130300380.html,Reuters
2024-02-08 06:37:00,UPDATE 2-Astrazeneca says Catalent deal shows need for in-house capacity,https://finance.yahoo.com/news/1-astrazeneca-says-catalent-deal-113702972.html,Reuters
2024-02-08 05:48:00,Astrazeneca says Catalent deal shows need for in-house capacity,https://finance.yahoo.com/news/astrazeneca-says-catalent-deal-shows-104804157.html,Reuters
2024-02-08 04:53:00,Astrazeneca says Catalent deal shows importance of in-house capacity,https://finance.yahoo.com/news/astrazeneca-says-catalent-deal-shows-095322759.html,Reuters
2024-02-07 12:55:00,UPDATE 1-US FDA finds control lapses at Catalent plant being sold to Novo,https://finance.yahoo.com/news/1-us-fda-finds-control-175521172.html,Reuters
2024-02-07 12:23:00,UPDATE 2-EU watchdog looking into impact on drug availability from Catalent-Novo deal,https://finance.yahoo.com/news/1-eu-watchdog-looking-availability-172320425.html,Reuters
2024-02-07 11:53:00,EU watchdog to assess availability of drugs made at Catalent sites sold to Novo,https://finance.yahoo.com/news/eu-watchdog-assess-availability-drugs-165356569.html,Reuters
2024-12-06 13:04:00,Novo Holdings' $16.5 billion Catalent buy wins EU antitrust approval,https://finance.yahoo.com/news/novo-holdings-16-5-billion-180450599.html,Reuters
2024-12-14 11:53:00,"Regulatory conditions on Novo Holdings' $16.5 billion Catalent deal fulfilled, companies say",https://finance.yahoo.com/news/regulatory-conditions-novo-holdings-16-165319309.html,Reuters
2024-12-18 09:08:00,Novo Holdings closes $16.5 billion buyout of contract manufacturer Catalent,https://finance.yahoo.com/news/novo-holdings-completes-16-5-140830763.html,Reuters
